2026-08-13 08:10:15 | 192.168.1.10 | LOGIN_SUCESSO | nicolas
2026-08-13 08:12:03 | 192.168.1.25 | LOGIN_FALHA | admin
2026-08-13 08:12:10 | 192.168.1.25 | LOGIN_FALHA | admin
2026-08-13 08:12:18 | 192.168.1.25 | LOGIN_FALHA | admin
2026-08-13 08:15:30 | 192.168.1.30 | LOGIN_SUCESSO | maria
2026-08-13 08:20:41 | 192.168.1.25 | LOGIN_FALHA | root

2026-08-13 08:25:02 | 192.168.1.40 | LOGIN_FALHA | visitante
2026-08-13 08:25:09 | 192.168.1.40 | LOGIN_FALHA | visitante
2026-08-13 08:26:30 | 192.168.1.50 | LOGIN_SUCESSO | joao


